original_key,resolved_name,resolved_country,type,__index_level_0__
3acc587d-98ea-4bbe-bdc6-96035127e468,"Instituto Universitario de Investigación Marina, Universidad de Cádiz",ES,organization,0
"Instituto Universitario de Investigación Marina, Universidad de Cádiz","Instituto Universitario de Investigación Marina, Universidad de Cádiz",ES,rightsholder,1
62115872-5bc9-4552-8749-5c38b17cbab7,Shark Trust,GB,organization,2
Shark Trust,Shark Trust,GB,rightsholder,3
c5070b8c-619f-4fe0-91c8-5dfcf99ea1e0,Namangan State University,UZ,organization,4
Namangan State University,Namangan State University,UZ,rightsholder,5
54fe1f46-5812-472a-a185-abe2e5ed03a5,Greater Manchester Ecology Unit,GB,organization,6
Greater Manchester Ecology Unit,Greater Manchester Ecology Unit,GB,rightsholder,7
06909c91-5a7d-4760-af1c-9374e0959f47,WasserCluster Lunz - Biologische Station GmbH,AT,organization,8
WasserCluster Lunz - Biologische Station GmbH,WasserCluster Lunz - Biologische Station GmbH,AT,rightsholder,9
99f9ad4b-9286-4fcf-afd6-e68dc1a7c6ad,Conserve Global,GB,organization,10
Conserve Global,Conserve Global,GB,rightsholder,11
907c253c-7b61-4e00-ad31-0a972cdda590,Australian Ocean Data Network,AU,organization,12
Australian Ocean Data Network,Australian Ocean Data Network,AU,rightsholder,13
11934b40-a19d-4370-a78f-790e8aab4058,Bukhara State University,UZ,organization,14
Bukhara State University,Bukhara State University,UZ,rightsholder,15
3420400f-7872-4e83-a522-4e79d5b988ac,Termiz State University of Engineering and Agrotechnology,UZ,organization,16
Termiz State University of Engineering and Agrotechnology,Termiz State University of Engineering and Agrotechnology,UZ,rightsholder,17
a7863acb-6c13-4aba-a5bf-6206b4170349,Kokand State University,UZ,organization,18
Kokand State University,Kokand State University,UZ,rightsholder,19
bae89bf6-3aa8-449a-8e29-9142e87f2cb3,Gotlands Museum,SE,organization,20
Gotlands Museum,Gotlands Museum,SE,rightsholder,21
9854c91a-de05-40cf-b2bf-561a28381428,Valdosta State University Herbarium,US,organization,22
Valdosta State University Herbarium,Valdosta State University Herbarium,US,rightsholder,23
35b0f006-706a-41d6-b3bb-1be6838972da,Mystic Seaport Museum,US,organization,24
Mystic Seaport Museum,Mystic Seaport Museum,US,rightsholder,25
495f01dd-4aef-40d8-bc86-54c4ac3055e0,Wildlife Preservation Canada,CA,organization,26
Wildlife Preservation Canada,Wildlife Preservation Canada,CA,rightsholder,27
55560a2c-28f0-4dd8-8b68-5318c4ed9f62,Nezahat Gökyiğit Botanic Garden,TR,organization,28
Nezahat Gökyiğit Botanic Garden,Nezahat Gökyiğit Botanic Garden,TR,rightsholder,29
19586f63-02b1-4f5e-ba62-e6e65c8c6347,Natuurvereniging KNNV,NL,organization,30
Natuurvereniging KNNV,Natuurvereniging KNNV,NL,rightsholder,31
4457b831-87fb-45ca-af72-2950bf6c344d,Ecoyaco SAS,CO,organization,32
Ecoyaco SAS,Ecoyaco SAS,CO,rightsholder,33
67d051a0-c480-43a2-b419-98f29a078589,Conexión Kimal Lo Aguire S.A.,CL,organization,34
Conexión Kimal Lo Aguire S.A.,Conexión Kimal Lo Aguire S.A.,CL,rightsholder,35
c8d8261f-c09e-4597-a8c0-96e22c72bf14,Hellenic Institute of Speleological Research,GR,organization,36
Hellenic Institute of Speleological Research,Hellenic Institute of Speleological Research,GR,rightsholder,37
efebed55-22d5-47f6-8689-585e34c87c04,Cumaral Biodiversa,CO,organization,38
Cumaral Biodiversa,Cumaral Biodiversa,CO,rightsholder,39
04e7861b-202e-400a-99ed-028b23b89111,Fundación Profesional para el Manejo Integral del Agua,CO,organization,40
Fundación Profesional para el Manejo Integral del Agua,Fundación Profesional para el Manejo Integral del Agua,CO,rightsholder,41
88727ff0-1fef-456d-af2d-e79360f2e0c9,The Stephan Angeloff Institute of Microbiology - Bulgarian Academy of Sciences,BG,organization,42
The Stephan Angeloff Institute of Microbiology - Bulgarian Academy of Sciences,The Stephan Angeloff Institute of Microbiology - Bulgarian Academy of Sciences,BG,rightsholder,43
dabff3bc-a8ee-47da-b660-0b5072d2d228,El Colegio de la Frontera Sur,MX,organization,44
El Colegio de la Frontera Sur,El Colegio de la Frontera Sur,MX,rightsholder,45
5326556c-2176-4b4b-b4e8-0d9907e1d665,Proyecto Sotalia,VE,organization,46
Proyecto Sotalia,Proyecto Sotalia,VE,rightsholder,47
d4f13a02-b905-4a58-b293-7b2e7c1c81bf,OSU STAMAR,FR,organization,48
OSU STAMAR,OSU STAMAR,FR,rightsholder,49
a1f0ce78-f8aa-4ad9-8315-4c5de93f3ea6,PlantBank,CZ,organization,50
PlantBank,PlantBank,CZ,rightsholder,51
93d12916-59fa-4680-8995-131975c1892b,Rupununi Research Foundation,GY,organization,52
Rupununi Research Foundation,Rupununi Research Foundation,GY,rightsholder,53
53bfa3e6-d78f-4bbc-843d-c73281e8047f,Jardín Botánico de Ushuaia,AR,organization,54
Jardín Botánico de Ushuaia,Jardín Botánico de Ushuaia,AR,rightsholder,55
121e023a-bbbc-4200-bf52-f68bc74cd008,UNAM Universidad Nacional Autónoma de México,MX,organization,56
UNAM Universidad Nacional Autónoma de México,UNAM Universidad Nacional Autónoma de México,MX,rightsholder,57
7a2605e0-8a1e-4393-836b-d6d6ac064e74,Smithsonian Peru Biodiversity Program,PE,organization,58
Smithsonian Peru Biodiversity Program,Smithsonian Peru Biodiversity Program,PE,rightsholder,59
79dfee31-d3ac-4015-ba99-6528453b8b7d,Università degli Studi di Napoli Federico II,IT,organization,60
Università degli Studi di Napoli Federico II,Università degli Studi di Napoli Federico II,IT,rightsholder,61
bb305fb5-d6f3-4631-98b7-112158e7a4a0,GBIF Italy,IT,organization,62
GBIF Italy,GBIF Italy,IT,rightsholder,63
5d5d4fbf-2a3d-4ec0-b60b-7b6fa07d4f0e,Association Kwata,GF,organization,64
Association Kwata,Association Kwata,GF,rightsholder,65
210ec98d-81cd-4f90-8025-f6f42b98aee8,Koola Wild Foundation,IN,organization,66
Koola Wild Foundation,Koola Wild Foundation,IN,rightsholder,67
33de3bd3-d52d-4c5c-9e83-bd687a8a38ab,Bulgarian Biodiversity Foundation,BG,organization,68
Bulgarian Biodiversity Foundation,Bulgarian Biodiversity Foundation,BG,rightsholder,69
fcfefcbf-4a3d-444d-a563-82fb2f587c77,Asociación Argentina de Consorcios Regionales de Experimentación Agrícola (CREA),AR,organization,70
Asociación Argentina de Consorcios Regionales de Experimentación Agrícola (CREA),Asociación Argentina de Consorcios Regionales de Experimentación Agrícola (CREA),AR,rightsholder,71
dcbda2ed-1b4b-4db0-b94f-60c4bd261d0f,Charleston Southern University Herbarium,US,organization,72
Charleston Southern University Herbarium,Charleston Southern University Herbarium,US,rightsholder,73
2ec9efb4-07bb-4e15-b4bf-e06dc7b83fed,WeForest,BE,organization,74
WeForest,WeForest,BE,rightsholder,75
a2f285a1-1cbb-4b3a-8540-9f07c8fbf62e,Yerevan State University,AM,organization,76
Yerevan State University,Yerevan State University,AM,rightsholder,77
d922817a-2faa-4cd2-afa9-3006bd79efaa,"Departamento de Zoología, UCO",ES,organization,78
"Departamento de Zoología, UCO","Departamento de Zoología, UCO",ES,rightsholder,79
4bb7a553-e74c-47cc-bd90-3aeb20ae3faf,Environment and Climate Change Canada (ECCC),CA,organization,80
Environment and Climate Change Canada (ECCC),Environment and Climate Change Canada (ECCC),CA,rightsholder,81
09aebe2c-a193-4f28-8dfd-c1039a7da3f2,National Food and Veterinary Risk Assessment Institute,LT,organization,82
National Food and Veterinary Risk Assessment Institute,National Food and Veterinary Risk Assessment Institute,LT,rightsholder,83
a255949e-6593-446e-b318-f55d51b0d4a8,Parque Zoologico y Botanico Bararida,VE,organization,84
Parque Zoologico y Botanico Bararida,Parque Zoologico y Botanico Bararida,VE,rightsholder,85
946a1586-b643-481a-8e5c-607cfa4e11b7,Green Heritage Fund Suriname,SR,organization,86
Green Heritage Fund Suriname,Green Heritage Fund Suriname,SR,rightsholder,87
ae0f7b30-0bd1-4131-ab7b-bad511f5147e,Barnard College,US,organization,88
Barnard College,Barnard College,US,rightsholder,89
2728e1fe-5c6d-486d-97ef-2adae33dc5b1,Syrphidae of Italy (SoI),US,organization,90
