un_region_name,un_sub_region_name,internal_count,regional_count,sub_regional_count,external_count,unknown_count,total_count,internal_percentage,regional_percentage,sub_regional_percentage,external_percentage
Africa,Northern Africa,3712,1742,95,3434680,6,3440235,0.11,0.05,0.0,99.84
Africa,Sub-Saharan Africa,34680671,13,2222298,39374393,4370,76281745,45.46,0.0,2.91,51.62
Americas,Latin America and the Caribbean,44338339,172206447,1448202,15520231,489,233513708,18.99,73.75,0.62,6.65
Americas,Northern America,16922531,45767,158252177,6347838,36,181568349,9.32,0.03,87.16,3.5
Asia,Central Asia,66369,50445,3437,1051306,1,1171558,5.67,4.31,0.29,89.74
Asia,Eastern Asia,22227547,819,428310,13583882,63,36240621,61.33,0.0,1.18,37.48
Asia,South-eastern Asia,196162,479210,49819,22257657,54,22982902,0.85,2.09,0.22,96.84
Asia,Southern Asia,895918,76648,14886,59134451,670,60122573,1.49,0.13,0.02,98.36
Asia,Western Asia,1952098,9995,516599,16721633,275,19200600,10.17,0.05,2.69,87.09
Europe,Eastern Europe,22088212,5101224,652536,20667284,105985,48615241,45.43,10.49,1.34,42.51
Europe,Northern Europe,459001512,5905504,5997457,51959679,24119,522888271,87.78,1.13,1.15,9.94
Europe,Southern Europe,49994934,15004568,474593,50400390,337,115874822,43.15,12.95,0.41,43.5
Europe,Western Europe,433620166,4227995,21146189,25946289,6682,484947321,89.42,0.87,4.36,5.35
Oceania,Australia and New Zealand,87435348,8,279193,69824650,38,157539237,55.5,0.0,0.18,44.32
Oceania,Melanesia,238457,580873,40789,2404351,9,3264479,7.3,17.79,1.25,73.65
Oceania,Micronesia,30,60481,0,771078,2,831591,0.0,7.27,0.0,92.72
Oceania,Polynesia,11219,158644,0,255094,0,424957,2.64,37.33,0.0,60.03
