un_region_name,un_sub_region_name,un_intermediate_region_name,internal_count,regional_count,external_count,unknown_count,total_count,internal_percentage,regional_percentage,external_percentage
Africa,Northern Africa,,3712,1837,3434680,6,3440235,0.11,0.05,99.84
Africa,Sub-Saharan Africa,Eastern Africa,1068586,1196162,16574251,4317,18843316,5.67,6.35,87.96
Africa,Sub-Saharan Africa,Middle Africa,231175,175465,3871191,43,4277874,5.4,4.1,90.49
Africa,Sub-Saharan Africa,Southern Africa,31483111,698858,13633797,3,45815769,68.72,1.53,29.76
Africa,Sub-Saharan Africa,Western Africa,1897799,151826,5295154,7,7344786,25.84,2.07,72.09
Americas,Latin America and the Caribbean,Caribbean,144314,6831623,602604,6,7578547,1.9,90.14,7.95
Americas,Latin America and the Caribbean,Central America,12046707,74885542,7623573,33,94555855,12.74,79.2,8.06
Americas,Latin America and the Caribbean,South America,32147318,91937484,7294054,450,131379306,24.47,69.98,5.55
Americas,Northern America,,16922531,158297944,6347838,36,181568349,9.32,87.18,3.5
Asia,Central Asia,,66369,53882,1051306,1,1171558,5.67,4.6,89.74
Asia,Eastern Asia,,22227547,429129,13583882,63,36240621,61.33,1.18,37.48
Asia,South-eastern Asia,,196162,529029,22257657,54,22982902,0.85,2.3,96.84
Asia,Southern Asia,,895918,91534,59134451,670,60122573,1.49,0.15,98.36
Asia,Western Asia,,1952098,526594,16721633,275,19200600,10.17,2.74,87.09
Europe,Eastern Europe,,22088212,5753760,20667284,105985,48615241,45.43,11.84,42.51
Europe,Northern Europe,,459001512,11902961,51959679,24119,522888271,87.78,2.28,9.94
Europe,Southern Europe,,49994934,15479161,50400390,337,115874822,43.15,13.36,43.5
Europe,Western Europe,,433620166,25374184,25946289,6682,484947321,89.42,5.23,5.35
Oceania,Australia and New Zealand,,87435348,279201,69824650,38,157539237,55.5,0.18,44.32
Oceania,Melanesia,,238457,621662,2404351,9,3264479,7.3,19.04,73.65
Oceania,Micronesia,,30,60481,771078,2,831591,0.0,7.27,92.72
Oceania,Polynesia,,11219,158644,255094,0,424957,2.64,37.33,60.03
