un_region_name,un_intermediate_region_name,internal_count,external_count,unknown_count,total_count,internal_percentage,external_percentage
Africa,Eastern Africa,763277,7412098,4317,8179692,9.33,90.62
Africa,Middle Africa,230871,3340934,43,3571848,6.46,93.54
Africa,Southern Africa,2509962,5461985,3,7971950,31.48,68.52
Africa,Western Africa,1222174,2888310,7,4110491,29.73,70.27
Africa,,3712,1670105,6,1673823,0.22,99.78
Americas,Caribbean,143267,2523813,6,2667086,5.37,94.63
Americas,Central America,11351234,18281927,33,29633194,38.31,61.69
Americas,South America,29933982,18555123,450,48489555,61.73,38.27
Americas,,15948516,15770103,36,31718655,50.28,49.72
Asia,,23015653,26720883,1063,49737599,46.27,53.72
Europe,,620197243,72921411,128844,693247498,89.46,10.52
Oceania,,52741952,18383778,49,71125779,74.15,25.85
