un_region_name,un_sub_region_name,internal_count,external_count,unknown_count,total_count,internal_percentage,external_percentage
Africa,Northern Africa,3712,1670105,6,1673823,0.22,99.78
Africa,Sub-Saharan Africa,4726284,19103327,4370,23833981,19.83,80.15
Americas,Latin America and the Caribbean,41428483,39360863,489,80789835,51.28,48.72
Americas,Northern America,15948516,15770103,36,31718655,50.28,49.72
Asia,Central Asia,66066,660131,1,726198,9.1,90.9
Asia,Eastern Asia,20483556,7285488,63,27769107,73.76,26.24
Asia,South-eastern Asia,189933,9222796,54,9412783,2.02,97.98
Asia,Southern Asia,803400,5305824,670,6109894,13.15,86.84
Asia,Western Asia,1472698,4246644,275,5719617,25.75,74.25
Europe,Eastern Europe,16921553,13592071,97706,30611330,55.28,44.4
Europe,Northern Europe,266185804,15266893,24119,281476816,94.57,5.42
Europe,Southern Europe,35591058,16776804,337,52368199,67.96,32.04
Europe,Western Europe,301498828,27285643,6682,328791153,91.7,8.3
Oceania,Australia and New Zealand,52493413,15003294,38,67496745,77.77,22.23
Oceania,Melanesia,238456,2290596,9,2529061,9.43,90.57
Oceania,Micronesia,30,708889,2,708921,0.0,100.0
Oceania,Polynesia,10053,380999,0,391052,2.57,97.43
