lat,lon,source_type,record_count
52.0,5.0,INTERNAL,15186968
52.0,6.0,INTERNAL,10646724
51.0,4.0,INTERNAL,7644437
51.0,6.0,INTERNAL,7355847
52.0,4.0,INTERNAL,7234325
52.0,0.0,INTERNAL,6993690
51.0,5.0,INTERNAL,6912867
53.0,6.0,INTERNAL,6818389
51.0,-2.0,INTERNAL,6677809
52.0,-1.0,INTERNAL,6028890
45.0,6.0,INTERNAL,6020058
51.0,-1.0,INTERNAL,5819013
49.0,2.0,INTERNAL,5286919
51.0,-3.0,INTERNAL,5087509
52.0,-2.0,INTERNAL,5004993
52.0,1.0,INTERNAL,4851140
47.0,7.0,INTERNAL,4730209
53.0,-1.0,INTERNAL,4715633
53.0,-3.0,INTERNAL,4634289
53.0,-2.0,INTERNAL,4358789
51.0,-0.0,INTERNAL,4246182
46.0,6.0,INTERNAL,4224479
47.0,8.0,INTERNAL,4154943
53.0,5.0,INTERNAL,4106177
51.0,3.0,INTERNAL,4022905
53.0,1.0,INTERNAL,3990860
52.0,-3.0,INTERNAL,3860530
53.0,7.0,INTERNAL,3835064
47.0,9.0,INTERNAL,3636643
54.0,-3.0,INTERNAL,3390038
46.0,7.0,INTERNAL,3102227
52.0,-4.0,INTERNAL,3027481
52.0,7.0,INTERNAL,2962401
49.0,3.0,INTERNAL,2863267
44.0,7.0,INTERNAL,2855875
45.0,5.0,INTERNAL,2769467
46.0,5.0,INTERNAL,2741869
48.0,3.0,INTERNAL,2723396
44.0,6.0,INTERNAL,2663364
47.0,6.0,INTERNAL,2638703
51.0,-4.0,INTERNAL,2487595
44.0,4.0,INTERNAL,2472516
47.0,5.0,INTERNAL,2460347
44.0,5.0,INTERNAL,2432412
51.0,1.0,INTERNAL,2395215
41.0,-74.0,INTERNAL,2359758
54.0,-1.0,INTERNAL,2316964
48.0,2.0,INTERNAL,2315456
46.0,3.0,INTERNAL,2240638
54.0,-2.0,INTERNAL,2230325
56.0,10.0,INTERNAL,2220965
45.0,3.0,INTERNAL,2170679
56.0,12.0,INTERNAL,2162782
56.0,13.0,INTERNAL,2151242
53.0,-4.0,INTERNAL,2076777
45.0,4.0,INTERNAL,2044606
48.0,11.0,INTERNAL,2035989
56.0,9.0,INTERNAL,2033443
