lat,lon,source_type,record_count
-20.5,-29.3,INTERNAL,61766
-3.9,-33.8,INTERNAL,32560
-18.0,-38.7,INTERNAL,21086
0.9,-29.3,INTERNAL,19502
-3.8,-32.4,INTERNAL,17135
-17.5,-39.0,INTERNAL,14325
-27.3,-48.4,INTERNAL,12933
-23.6,-46.7,REGIONAL,10748
-15.8,-47.9,REGIONAL,10511
-23.0,-42.0,INTERNAL,10475
-15.7,-47.9,REGIONAL,9756
-24.1,-45.7,INTERNAL,8854
-3.9,-32.5,INTERNAL,8520
-23.6,-46.6,REGIONAL,8440
-27.3,-48.3,INTERNAL,8085
-5.6,-36.2,EXTERNAL,7608
-6.4,-50.4,INTERNAL,7188
-32.0,-52.1,INTERNAL,6869
-20.7,-40.4,INTERNAL,6726
-7.9,-35.2,REGIONAL,6538
-23.8,-45.4,INTERNAL,6385
-16.9,-39.0,INTERNAL,6321
-5.2,-35.4,INTERNAL,6063
-17.9,-38.9,INTERNAL,5879
-27.2,-48.4,INTERNAL,5812
-16.9,-39.1,INTERNAL,5733
-5.2,-35.3,INTERNAL,5619
-15.9,-47.8,REGIONAL,5005
-27.6,-48.4,INTERNAL,4926
-32.1,-52.1,INTERNAL,4836
-25.7,-54.4,REGIONAL,4833
-10.0,-67.9,REGIONAL,4812
0.0,0.0,EXTERNAL,4618
-23.5,-46.8,REGIONAL,4403
-9.6,-55.9,REGIONAL,4351
-22.6,-43.4,REGIONAL,4294
-8.5,-37.3,INTERNAL,4081
-25.4,-49.3,REGIONAL,3949
-17.7,-38.9,INTERNAL,3824
-29.7,-53.7,REGIONAL,3796
-22.5,-42.8,REGIONAL,3795
-32.2,-52.2,INTERNAL,3768
-23.0,-43.2,REGIONAL,3751
-22.4,-47.5,REGIONAL,3730
-20.3,-40.3,REGIONAL,3694
-21.3,-45.0,EXTERNAL,3686
-22.5,-42.8,EXTERNAL,3482
-3.8,-38.5,REGIONAL,3473
-23.0,-43.3,REGIONAL,3469
-23.5,-45.1,INTERNAL,3447
-32.2,-52.1,INTERNAL,3417
-6.4,-39.3,REGIONAL,3399
-6.7,-45.0,INTERNAL,3374
-23.8,-45.5,INTERNAL,3338
-17.7,-39.0,INTERNAL,3241
-17.8,-39.1,INTERNAL,3189
-19.3,-45.5,INTERNAL,3182
-23.5,-45.2,INTERNAL,3180
-3.1,-60.0,REGIONAL,3124
-23.9,-46.1,INTERNAL,3120
-23.4,-44.8,INTERNAL,2995
-5.6,-36.3,EXTERNAL,2898
-15.8,-47.8,REGIONAL,2897
-23.5,-46.5,REGIONAL,2852
-29.5,-50.1,EXTERNAL,2840
-32.1,-52.2,INTERNAL,2839
-22.8,-41.9,INTERNAL,2826
-24.0,-46.2,INTERNAL,2824
-22.9,-43.2,REGIONAL,2810
-20.8,-42.9,INTERNAL,2758
-26.3,-48.8,INTERNAL,2702
-22.4,-44.6,REGIONAL,2575
-15.9,-47.9,REGIONAL,2569
-23.5,-46.6,REGIONAL,2558
-19.9,-40.6,REGIONAL,2524
-23.4,-44.9,INTERNAL,2521
-23.7,-46.6,REGIONAL,2469
-19.9,-44.0,REGIONAL,2438
-20.5,-28.9,INTERNAL,2392
-27.7,-48.5,INTERNAL,2377
-7.9,-14.4,INTERNAL,2372
-6.0,-35.0,INTERNAL,2370
-3.7,-38.6,REGIONAL,2368
-25.6,-54.5,REGIONAL,2345
-22.3,-41.7,INTERNAL,2304
-5.6,-35.1,INTERNAL,2276
-25.4,-49.2,REGIONAL,2269
3.4,-61.5,INTERNAL,2225
-17.9,-39.2,INTERNAL,2187
-26.9,-49.1,REGIONAL,2165
-24.2,-46.8,INTERNAL,2161
-27.6,-48.5,REGIONAL,2042
-22.9,-47.0,REGIONAL,1960
-23.4,-46.6,REGIONAL,1958
-27.7,-48.5,REGIONAL,1956
-30.0,-51.1,REGIONAL,1950
-24.0,-46.3,INTERNAL,1934
-27.1,-48.5,INTERNAL,1916
-30.0,-51.2,REGIONAL,1914
-23.4,-45.1,INTERNAL,1907
-23.8,-46.3,REGIONAL,1876
-21.8,-41.3,REGIONAL,1871
-32.0,-52.3,REGIONAL,1865
-20.4,-40.3,REGIONAL,1856
-5.9,-35.2,REGIONAL,1846
-26.4,-48.6,INTERNAL,1825
-23.0,-43.2,INTERNAL,1816
-23.7,-47.1,INTERNAL,1798
-3.0,-59.9,REGIONAL,1771
-21.1,-49.5,INTERNAL,1762
-9.9,-56.1,REGIONAL,1753
-8.6,-37.2,INTERNAL,1740
-30.1,-51.2,REGIONAL,1739
-23.6,-45.4,INTERNAL,1722
-23.6,-46.5,REGIONAL,1714
-8.5,-37.2,INTERNAL,1706
-23.5,-46.7,REGIONAL,1695
-8.4,-37.3,INTERNAL,1684
-23.0,-44.6,INTERNAL,1673
-22.3,-41.6,INTERNAL,1648
-8.5,-34.0,EXTERNAL,1647
-19.2,-40.1,REGIONAL,1638
-17.9,-38.7,INTERNAL,1632
-28.5,-48.8,REGIONAL,1628
-23.4,-45.0,INTERNAL,1615
-27.1,-48.9,REGIONAL,1603
-30.1,-51.1,REGIONAL,1601
-22.3,-42.5,REGIONAL,1600
-26.8,-49.3,REGIONAL,1596
-22.8,-47.1,REGIONAL,1563
-23.0,-50.9,INTERNAL,1546
-25.4,-49.0,REGIONAL,1527
-26.8,-48.7,REGIONAL,1512
-23.0,-44.1,INTERNAL,1490
-20.8,-42.9,REGIONAL,1473
-8.9,-36.5,REGIONAL,1470
-22.9,-42.0,INTERNAL,1454
-11.4,-42.6,EXTERNAL,1447
-23.8,-46.0,INTERNAL,1440
-20.6,-40.4,REGIONAL,1430
-8.0,-35.0,REGIONAL,1423
-18.0,-38.7,REGIONAL,1417
-19.9,-43.9,REGIONAL,1415
-19.1,-40.1,REGIONAL,1402
-27.8,-48.4,INTERNAL,1384
-29.9,-50.3,REGIONAL,1345
-23.7,-46.5,REGIONAL,1339
-5.2,-37.3,REGIONAL,1331
-19.9,-45.0,REGIONAL,1331
-25.9,-48.7,INTERNAL,1327
-31.9,-52.1,INTERNAL,1320
-25.8,-48.7,INTERNAL,1314
-5.5,-36.2,EXTERNAL,1309
-20.6,-40.4,INTERNAL,1297
-23.7,-45.4,INTERNAL,1282
-22.9,-43.1,REGIONAL,1279
-11.5,-42.6,EXTERNAL,1279
-23.6,-46.7,EXTERNAL,1256
-25.9,-48.6,INTERNAL,1243
-23.6,-46.7,INTERNAL,1227
-21.0,-42.0,REGIONAL,1224
-0.9,-44.3,INTERNAL,1218
-15.8,-48.1,REGIONAL,1217
-22.5,-43.0,REGIONAL,1210
-26.9,-48.6,REGIONAL,1208
-23.4,-44.7,INTERNAL,1207
