lat,lon,source_type,record_count,countrycode,country_name,wb_income_group
-20.5,-29.3,INTERNAL,61766,XX,Unknown,Not classified
-3.9,-33.8,INTERNAL,32560,XX,Unknown,Not classified
-18.0,-38.7,INTERNAL,21086,XX,Unknown,Not classified
0.9,-29.3,INTERNAL,19502,XX,Unknown,Not classified
-3.8,-32.4,INTERNAL,17135,XX,Unknown,Not classified
-17.5,-39.0,INTERNAL,14325,XX,Unknown,Not classified
-27.3,-48.4,INTERNAL,12933,XX,Unknown,Not classified
-23.6,-46.7,REGIONAL,10748,BR,Brazil,Upper middle income
-15.8,-47.9,REGIONAL,10511,BR,Brazil,Upper middle income
-23.0,-42.0,INTERNAL,10475,XX,Unknown,Not classified
-15.7,-47.9,REGIONAL,9756,BR,Brazil,Upper middle income
-24.1,-45.7,INTERNAL,8854,XX,Unknown,Not classified
-3.9,-32.5,INTERNAL,8520,XX,Unknown,Not classified
-23.6,-46.6,REGIONAL,8440,BR,Brazil,Upper middle income
-27.3,-48.3,INTERNAL,8085,XX,Unknown,Not classified
-5.6,-36.2,EXTERNAL,7608,BR,Brazil,Upper middle income
-6.4,-50.4,INTERNAL,7188,BR,Brazil,Upper middle income
-32.0,-52.1,INTERNAL,6869,BR,Brazil,Upper middle income
-20.7,-40.4,INTERNAL,6726,XX,Unknown,Not classified
-7.9,-35.2,REGIONAL,6538,BR,Brazil,Upper middle income
-23.8,-45.4,INTERNAL,6385,BR,Brazil,Upper middle income
-16.9,-39.0,INTERNAL,6321,XX,Unknown,Not classified
-5.2,-35.4,INTERNAL,6063,XX,Unknown,Not classified
-17.9,-38.9,INTERNAL,5879,XX,Unknown,Not classified
-27.2,-48.4,INTERNAL,5812,XX,Unknown,Not classified
-16.9,-39.1,INTERNAL,5733,XX,Unknown,Not classified
-5.2,-35.3,INTERNAL,5619,XX,Unknown,Not classified
-15.9,-47.8,REGIONAL,5005,BR,Brazil,Upper middle income
-27.6,-48.4,INTERNAL,4926,XX,Unknown,Not classified
-32.1,-52.1,INTERNAL,4836,BR,Brazil,Upper middle income
-25.7,-54.4,REGIONAL,4833,AR,Argentina,Upper middle income
-10.0,-67.9,REGIONAL,4812,BR,Brazil,Upper middle income
0.0,0.0,EXTERNAL,4618,XX,Unknown,Not classified
-23.5,-46.8,REGIONAL,4403,BR,Brazil,Upper middle income
-9.6,-55.9,REGIONAL,4351,BR,Brazil,Upper middle income
