iso3c,iso2c,country_code,country_name,eu27,un_region_name,un_sub_region_name,un_intermediate_region_name,un_region_clean,un_sub_region_clean,un_intermediate_region_clean,un_developed_or_developing_countries,kingdom,internal_count,regional_count,external_count,unknown_count,total_count,internal_percentage,regional_percentage,external_percentage,is_cbd_party,wb_income_group,is_cbd_party_1,wb_income_group_1,is_ldc,is_sids
USA,US,US,United States,FALSE,Americas,Northern America,,Americas,Northern-America,,Developed,Animalia,1042626977,831810,1905560,102,1045364449,99.74,0.08,0.18,False,High income,False,High income,False,False
CAN,CA,CA,Canada,FALSE,Americas,Northern America,,Americas,Northern-America,,Developed,Animalia,14141928,153150360,4660517,10,171952815,8.22,89.07,2.71,True,High income,True,High income,False,False
GBR,GB,GB,United Kingdom,FALSE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Animalia,96727270,2515195,36280654,1,135523120,71.37,1.86,26.77,True,High income,True,High income,False,False
SWE,SE,SE,Sweden,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Animalia,109463245,546082,3202999,0,113212326,96.69,0.48,2.83,True,High income,True,High income,False,False
FRA,FR,FR,France,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Animalia,95730734,4845638,7082236,143,107658751,88.92,4.5,6.58,True,High income,True,High income,False,False
AUS,AU,AU,Australia,FALSE,Oceania,Australia and New Zealand,,Oceania,Australia-and-New-Zealand,,Developed,Animalia,55091497,70715,52305337,23,107467572,51.26,0.07,48.67,True,High income,True,High income,False,False
FRA,FR,FR,France,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Plantae,92153071,1419033,900629,0,94472733,97.54,1.5,0.95,True,High income,True,High income,False,False
NLD,NL,NL,Netherlands,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Animalia,87415492,2609132,2633666,0,92658290,94.34,2.82,2.84,True,High income,True,High income,False,False
ESP,ES,ES,Spain,TRUE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Animalia,18500246,5322368,29716289,22,53538925,34.55,9.94,55.5,True,High income,True,High income,False,False
IND,IN,IN,India,FALSE,Asia,Southern Asia,,Asia,Southern-Asia,,Developing,Animalia,225190,20212,49815098,14,50060514,0.45,0.04,99.51,True,Lower middle income,True,Lower middle income,False,False
USA,US,US,United States,FALSE,Americas,Northern America,,Americas,Northern-America,,Developed,Plantae,44783824,781053,1944219,67,47509163,94.26,1.64,4.09,False,High income,False,High income,False,False
NOR,NO,NO,Norway,FALSE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Animalia,40106991,624549,1695021,0,42426561,94.53,1.47,4.0,True,High income,True,High income,False,False
DNK,DK,DK,Denmark,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Animalia,40166176,549964,1289727,0,42005867,95.62,1.31,3.07,True,High income,True,High income,False,False
GBR,GB,GB,United Kingdom,FALSE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Plantae,36301331,982551,1675477,18,38959377,93.18,2.52,4.3,True,High income,True,High income,False,False
ZAF,ZA,ZA,South Africa,FALSE,Africa,Sub-Saharan Africa,Southern Africa,Africa,Sub-Saharan-Africa,Southern-Africa,Developing,Animalia,30179125,3920,8719124,2,38902171,77.58,0.01,22.41,True,Upper middle income,True,Upper middle income,False,False
SWE,SE,SE,Sweden,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Plantae,37774339,437212,242834,158,38454543,98.23,1.14,0.63,True,High income,True,High income,False,False
FIN,FI,FI,Finland,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Animalia,33525829,245355,2194387,0,35965571,93.22,0.68,6.1,True,High income,True,High income,False,False
DEU,DE,DE,Germany,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Plantae,28702552,3148975,1129298,17,32980842,87.03,9.55,3.42,True,High income,True,High income,False,False
NLD,NL,NL,Netherlands,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Plantae,30592844,645634,144810,11,31383299,97.48,2.06,0.46,True,High income,True,High income,False,False
CRI,CR,CR,Costa Rica,FALSE,Americas,Latin America and the Caribbean,Central America,Americas,Latin-America-and-the-Caribbean,Central-America,Developing,Animalia,3471282,21971039,5361751,16,30804088,11.27,71.33,17.41,True,High income,True,High income,False,False
DEU,DE,DE,Germany,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Animalia,15899169,5567661,7408450,50,28875330,55.06,19.28,25.66,True,High income,True,High income,False,False
BEL,BE,BE,Belgium,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Animalia,26018251,224929,1171886,0,27415066,94.9,0.82,4.27,True,High income,True,High income,False,False
MEX,MX,MX,Mexico,FALSE,Americas,Latin America and the Caribbean,Central America,Americas,Latin-America-and-the-Caribbean,Central-America,Developing,Animalia,4000111,22804385,422046,3,27226545,14.69,83.76,1.55,True,Upper middle income,True,Upper middle income,False,False
COL,CO,CO,Colombia,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Animalia,7037017,19781423,185722,2,27004164,26.06,73.25,0.69,True,Upper middle income,True,Upper middle income,False,False
AUS,AU,AU,Australia,FALSE,Oceania,Australia and New Zealand,,Oceania,Australia-and-New-Zealand,,Developed,Plantae,23669315,22375,2860880,0,26552570,89.14,0.08,10.77,True,High income,True,High income,False,False
BRA,BR,BR,Brazil,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Animalia,3846064,18865494,590882,34,23302474,16.5,80.96,2.54,True,Upper middle income,True,Upper middle income,False,False
ESP,ES,ES,Spain,TRUE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Plantae,17837042,1893668,1080834,2,20811546,85.71,9.1,5.19,True,High income,True,High income,False,False
TWN,TW,TW,"Taiwan, Province of China",FALSE,,,,,,,,Animalia,5797426,0,14180192,4,19977622,29.02,0.0,70.98,,,,,,
,,,,,,,,,,,,Animalia,0,0,18024137,41,18024178,0.0,0.0,100.0,,,,,,
,,,,,,,,,,,,Plantae,0,0,16619611,2897,16622508,0.0,0.0,99.98,,,,,,
PRT,PT,PT,Portugal,TRUE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Animalia,3581603,1244671,11067527,6,15893807,22.53,7.83,69.63,True,High income,True,High income,False,False
DNK,DK,DK,Denmark,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Plantae,15167584,194789,258343,61,15620777,97.1,1.25,1.65,True,High income,True,High income,False,False
CHE,CH,CH,Switzerland,FALSE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Plantae,13177452,910377,248218,0,14336047,91.92,6.35,1.73,True,High income,True,High income,False,False
ARG,AR,AR,Argentina,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Animalia,686680,12871980,305987,39,13864686,4.95,92.84,2.21,True,Upper middle income,True,Upper middle income,False,False
BEL,BE,BE,Belgium,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Plantae,12840684,485862,121009,0,13447555,95.49,3.61,0.9,True,High income,True,High income,False,False
CHE,CH,CH,Switzerland,FALSE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Animalia,10533279,410013,1822271,6191,12771754,82.47,3.21,14.27,True,High income,True,High income,False,False
BRA,BR,BR,Brazil,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Plantae,9442544,1471767,1122962,0,12037273,78.44,12.23,9.33,True,Upper middle income,True,Upper middle income,False,False
ECU,EC,EC,Ecuador,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Animalia,288728,9969510,355234,13,10613485,2.72,93.93,3.35,True,Upper middle income,True,Upper middle income,False,False
CHL,CL,CL,Chile,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Animalia,3823587,6368847,163061,301,10355796,36.92,61.5,1.57,True,High income,True,High income,False,False
FIN,FI,FI,Finland,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Plantae,9801305,239429,215494,920,10257148,95.56,2.33,2.1,True,High income,True,High income,False,False
NZL,NZ,NZ,New Zealand,FALSE,Oceania,Australia and New Zealand,,Oceania,Australia-and-New-Zealand,,Developed,Animalia,2809424,97145,7330683,15,10237267,27.44,0.95,71.61,True,High income,True,High income,False,False
NOR,NO,NO,Norway,FALSE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Plantae,8994156,343851,127123,482,9465612,95.02,3.63,1.34,True,High income,True,High income,False,False
JPN,JP,JP,Japan,FALSE,Asia,Eastern Asia,,Asia,Eastern-Asia,,Developed,Animalia,6530502,1592,2925777,20,9457891,69.05,0.02,30.93,True,High income,True,High income,False,False
POL,PL,PL,Poland,TRUE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,Animalia,5790307,392057,2473826,11249,8667439,66.81,4.52,28.54,True,High income,True,High income,False,False
RUS,RU,RU,Russian Federation,FALSE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,Plantae,3486044,523468,4103249,2,8112763,42.97,6.45,50.58,True,High income,True,High income,False,False
PER,PE,PE,Peru,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Animalia,6265,7527896,293260,17,7827438,0.08,96.17,3.75,True,Upper middle income,True,Upper middle income,False,False
PAN,PA,PA,Panama,FALSE,Americas,Latin America and the Caribbean,Central America,Americas,Latin-America-and-the-Caribbean,Central-America,Developing,Animalia,19,7576195,161954,11,7738179,0.0,97.91,2.09,True,High income,True,High income,False,False
RUS,RU,RU,Russian Federation,FALSE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,Animalia,2374719,606332,4260088,1,7241140,32.79,8.37,58.83,True,High income,True,High income,False,False
MEX,MX,MX,Mexico,FALSE,Americas,Latin America and the Caribbean,Central America,Americas,Latin-America-and-the-Caribbean,Central-America,Developing,Plantae,3513322,3029724,563625,0,7106671,49.44,42.63,7.93,True,Upper middle income,True,Upper middle income,False,False
AUT,AT,AT,Austria,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Animalia,4397540,794420,1563291,13,6755264,65.1,11.76,23.14,True,High income,True,High income,False,False
CAN,CA,CA,Canada,FALSE,Americas,Northern America,,Americas,Northern-America,,Developed,Plantae,1772962,4515194,431025,0,6719181,26.39,67.2,6.41,True,High income,True,High income,False,False
POL,PL,PL,Poland,TRUE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,Plantae,5972233,292104,357041,36086,6657464,89.71,4.39,5.36,True,High income,True,High income,False,False
BLZ,BZ,BZ,Belize,FALSE,Americas,Latin America and the Caribbean,Central America,Americas,Latin-America-and-the-Caribbean,Central-America,Developing,Animalia,31524,6527008,26684,0,6585216,0.48,99.12,0.41,True,Upper middle income,True,Upper middle income,False,True
USA,US,US,United States,FALSE,Americas,Northern America,,Americas,Northern-America,,Developed,Bacteria,454667,523,5700082,0,6155272,7.39,0.01,92.6,False,High income,False,High income,False,False
SWE,SE,SE,Sweden,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Fungi,5749914,287039,100295,104,6137352,93.69,4.68,1.63,True,High income,True,High income,False,False
ISR,IL,IL,Israel,FALSE,Asia,Western Asia,,Asia,Western-Asia,,Developing,Animalia,954090,424,5155384,13,6109911,15.62,0.01,84.38,True,High income,True,High income,False,False
THA,TH,TH,Thailand,FALSE,Asia,South-eastern Asia,,Asia,South-eastern-Asia,,Developing,Animalia,30734,148439,5888466,13,6067652,0.51,2.45,97.05,True,Upper middle income,True,Upper middle income,False,False
PRT,PT,PT,Portugal,TRUE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Plantae,5174595,406855,480424,0,6061874,85.36,6.71,7.93,True,High income,True,High income,False,False
COL,CO,CO,Colombia,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Plantae,4653792,722445,343953,0,5720190,81.36,12.63,6.01,True,Upper middle income,True,Upper middle income,False,False
